C:\Users\Meity-4\AppData\Local\Programs\Python\Python310\python.exe: can't open file 'C:\\Users\\Meity-4\\air-quality-forecasting\\multi_device_pipeline.py': [Errno 2] No such file or directory
Pipeline completed at 30-06-2025 14:28:39.25 
Pipeline completed at 30-06-2025 14:33:00.83 
Pipeline execution completed at 30-06-2025 14:54:33.90 
Pipeline execution completed at 30-06-2025 15:04:33.49 
Pipeline execution completed at 01-07-2025 10:00:15.13 
Pipeline execution completed at 01-07-2025 12:45:06.95 
Pipeline execution completed at 01-07-2025 13:12:33.16 
Pipeline execution completed at 01-07-2025 14:30:14.77 
Pipeline execution completed at 01-07-2025 15:44:42.79 
Pipeline execution completed at 02-07-2025 10:30:17.71 
Pipeline execution completed at 02-07-2025 14:44:04.37 
Pipeline execution completed at 02-07-2025 15:00:39.44 
Pipeline execution completed at 03-07-2025 10:07:14.95 
Pipeline execution completed at 03-07-2025 10:20:18.64 
Pipeline execution completed at 03-07-2025 10:30:08.18 
Pipeline execution completed at 04-07-2025 10:30:16.73 
Pipeline execution completed at 04-07-2025 12:00:07.51 
Pipeline execution completed at 05-07-2025 10:40:21.56 
Pipeline execution completed at 05-07-2025 12:00:07.14 
Pipeline execution completed at 07-07-2025 12:00:16.05 
Pipeline execution completed at 08-07-2025 11:45:40.81 
Pipeline execution completed at 08-07-2025 12:00:07.38 
Pipeline execution completed at 10-07-2025 12:00:15.48 
Pipeline execution completed at 11-07-2025 12:00:15.65 
Pipeline execution completed at 11-07-2025 17:04:01.77 
Pipeline execution completed at 12-07-2025 12:00:15.22 
Pipeline execution completed at 14-07-2025 10:40:48.33 
Pipeline execution completed at 14-07-2025 12:00:13.64 
Pipeline execution completed at 15-07-2025 10:01:29.71 
Pipeline execution completed at 15-07-2025 12:00:13.44 
Pipeline execution completed at 16-07-2025 17:33:02.55 
Pipeline execution completed at 17-07-2025 16:35:27.87 
Pipeline execution completed at 19-07-2025 13:59:58.66 
Pipeline execution completed at 22-07-2025 13:05:36.01 
Pipeline execution completed at 23-07-2025 11:00:42.18 
Pipeline execution completed at 25-07-2025  9:59:42.87 
Pipeline execution completed at 26-07-2025 10:34:57.06 
Pipeline execution completed at 28-07-2025 13:09:32.02 
Pipeline execution completed at 29-07-2025  9:34:55.13 
Pipeline execution completed at 30-07-2025  9:50:09.31 
Pipeline execution completed at 01-08-2025  9:46:01.93 
Pipeline execution completed at 01-08-2025 13:20:43.10 
Pipeline execution completed at 01-08-2025 13:42:32.33 
Pipeline execution completed at 01-08-2025 13:46:50.84 
Pipeline execution completed at 02-08-2025  9:46:24.62 
Pipeline execution completed at 12-08-2025 12:00:17.77 
Pipeline execution completed at 14-08-2025 12:00:15.44 
Pipeline execution completed at 16-08-2025 12:00:15.07 
Pipeline execution completed at 18-08-2025 12:00:16.74 
Pipeline execution completed at 19-08-2025 12:00:15.08 
Pipeline execution completed at 20-08-2025 12:00:14.72 
Pipeline execution completed at 21-08-2025 12:00:15.97 
Pipeline execution completed at 21-08-2025 15:15:07.00 
Pipeline execution completed at 22-08-2025 10:00:14.74 
Pipeline execution completed at 22-08-2025 12:00:15.03 
Pipeline execution completed at 23-08-2025 10:00:17.61 
Pipeline execution completed at 23-08-2025 12:00:14.34 
Pipeline execution completed at 25-08-2025 10:00:15.62 
Pipeline execution completed at 25-08-2025 12:00:14.37 
Pipeline execution completed at 26-08-2025 10:00:16.66 
Pipeline execution completed at 26-08-2025 12:00:08.07 
Pipeline execution completed at 29-08-2025 10:00:16.05 
Pipeline execution completed at 29-08-2025 12:00:14.13 
Pipeline execution completed at 01-09-2025 12:00:16.02 
Pipeline execution completed at 02-09-2025 10:00:16.66 
Pipeline execution completed at 02-09-2025 12:00:15.17 
Pipeline execution completed at 08-09-2025 12:00:15.81 
Pipeline execution completed at 09-09-2025 10:00:15.42 
Pipeline execution completed at 09-09-2025 12:00:13.73 
Pipeline execution completed at 10-09-2025 10:00:15.62 
Pipeline execution completed at 10-09-2025 12:00:14.57 
Pipeline execution completed at 11-09-2025 10:00:15.69 
Pipeline execution completed at 11-09-2025 12:00:14.56 
Pipeline execution completed at 12-09-2025 10:00:16.43 
Pipeline execution completed at 12-09-2025 12:00:15.91 
Pipeline execution completed at 15-09-2025 10:00:15.25 
Pipeline execution completed at 15-09-2025 12:00:13.60 
Pipeline execution completed at 16-09-2025 10:00:10.90 
Pipeline execution completed at 16-09-2025 12:00:13.65 
Pipeline execution completed at 17-09-2025 10:00:15.60 
Pipeline execution completed at 17-09-2025 12:00:14.47 
Pipeline execution completed at 18-09-2025 10:00:16.36 
Pipeline execution completed at 18-09-2025 12:00:14.74 
Pipeline execution completed at 19-09-2025 10:00:16.57 
Pipeline execution completed at 19-09-2025 12:00:16.52 
Pipeline execution completed at 20-09-2025 10:00:10.24 
Pipeline execution completed at 20-09-2025 12:00:15.20 
Pipeline execution completed at 20-09-2025 14:21:08.60 
Pipeline execution completed at 20-09-2025 14:29:51.87 
Pipeline execution completed at 23-09-2025 10:00:16.09 
Pipeline execution completed at 23-09-2025 10:30:07.27 
Pipeline execution completed at 23-09-2025 10:55:07.48 
