DATE,PM2.5,PM10,O3,CO,NO2,SO2,NH3,Temperature,Humidity,Pressure,AQI,SampleCount
26-06-2025,21.08,24.22,9.04,0.01,6.92,6.95,7.0,29.62,72.69,1005.74,73.32,186
27-06-2025,20.08,23.22,9.04,0.01,6.92,6.95,7.0,29.62,72.69,1005.74,73.32,186
28-06-2025,21.08,21.22,9.04,0.01,6.92,6.95,7.0,29.62,72.69,1005.74,73.32,186
29-06-2025,20.08,22.22,9.04,0.01,6.92,6.95,7.0,29.62,72.69,1005.74,73.32,186
30-06-2025,23.08,24.22,9.04,0.01,6.92,6.95,7.0,29.62,72.69,1005.74,73.32,186
01-07-2025,41.58,43.06,17.79,0.01,8.67,8.56,8.53,30.01,67.72,1006.69,115.79,148
03-07-2025,47.05,48.56,11.27,0.01,6.15,6.13,6.1,29.75,68.48,1006.64,128.97,77
05-07-2025,46.5,48.0,6.78,0.01,7.27,7.24,7.3,0.0,0.0,0.0,127.5,6
08-07-2025,42.54,44.21,8.82,0.01,7.16,7.15,7.1,0.0,0.0,0.0,118.15,136
11-07-2025,44.26,47.06,8.59,0.01,6.73,6.72,6.79,0.0,0.0,0.0,110.12,247
14-07-2025,30.52,31.89,9.16,0.01,6.63,6.66,6.57,0.0,0.0,0.0,90.27,117
15-07-2025,76.3,78.51,9.78,0.01,6.74,6.74,6.69,0.0,0.0,0.0,150.79,82
16-07-2025,55.77,57.54,10.23,0.01,9.03,8.97,8.4,28.64,73.52,1005.39,119.82,207
17-07-2025,25.53,27.7,9.75,0.01,8.1,8.17,7.82,27.63,69.13,1004.41,79.41,73
19-07-2025,18.24,19.02,7.45,0.01,6.32,6.4,6.34,28.99,72.06,1004.73,62.89,122
22-07-2025,17.35,17.65,4.69,0.0,172.25,180.42,7.39,11.26,29.14,413.88,150.53,17
23-07-2025,35.56,36.68,8.64,0.01,7.57,7.67,7.53,28.64,67.18,1005.85,101.71,123
25-07-2025,33.08,34.47,8.36,0.01,6.54,6.58,6.5,28.48,72.58,1005.01,96.38,85
26-07-2025,52.7,54.3,8.13,0.01,6.41,6.44,6.49,28.34,72.1,1007.06,135.43,116
28-07-2025,27.53,29.16,9.52,0.01,13.82,6.87,6.84,27.93,76.6,1007.07,84.46,177
01-08-2025,47.95,50.05,8.79,0.01,6.41,6.4,6.2,30.45,69.51,1006.18,118.48,176
02-08-2025,15.96,16.68,13.27,0.01,11.85,11.39,11.62,29.36,62.82,1006.27,59.58,99
04-08-2025,20.42,21.19,7.81,0.01,6.27,6.25,6.21,29.24,69.95,1006.0,64.23,97
05-08-2025,74.24,76.2,9.17,0.01,6.63,6.62,6.6,29.92,70.0,1006.1,158.97,90
06-08-2025,30.22,31.75,7.88,0.01,6.05,6.03,6.05,28.11,74.08,1006.58,88.92,64
11-08-2025,29.66,30.74,9.79,0.01,7.3,7.08,7.45,29.6,64.37,1008.27,88.35,121
12-08-2025,32.73,33.99,8.72,0.01,7.31,7.3,7.46,29.53,69.28,1006.89,94.73,110
14-08-2025,55.81,57.54,11.41,0.01,9.89,9.68,9.24,28.98,59.09,1006.26,133.61,148
16-08-2025,44.11,45.4,10.93,0.01,7.37,7.36,7.09,28.75,68.24,1004.54,113.32,98
18-08-2025,24.79,25.77,14.67,0.01,6.84,6.92,7.05,28.32,70.72,1007.1,77.21,118
19-08-2025,32.63,34.03,8.61,0.01,12.08,7.05,6.87,29.04,68.85,1007.53,94.58,204
20-08-2025,22.6,23.62,7.79,0.01,7.03,6.88,6.83,29.52,64.91,1007.27,72.56,96
21-08-2025,25.03,26.09,7.28,0.01,6.34,6.42,6.44,29.77,74.79,1008.45,77.8,89
22-08-2025,31.15,32.75,10.4,0.01,8.45,7.85,7.77,30.82,60.87,1007.64,91.37,212
23-08-2025,36.56,38.25,8.21,0.01,6.69,6.69,6.61,30.76,66.58,1007.64,103.46,97
25-08-2025,28.18,29.59,8.93,0.01,7.46,7.09,7.04,30.95,59.98,1007.58,84.41,85
26-08-2025,42.87,44.62,23.85,0.01,21.11,8.97,9.17,31.18,51.45,1007.57,120.52,101
29-08-2025,24.38,25.46,10.89,0.01,16.39,8.03,8.18,28.68,54.54,1006.62,77.6,94
01-09-2025,25.48,26.86,10.56,0.01,7.99,7.79,7.99,29.82,71.71,1006.13,79.08,97
02-09-2025,19.1,20.47,8.45,0.01,6.44,6.53,6.62,30.22,65.75,1005.51,61.88,234
10-09-2025,36.27,37.99,8.33,0.01,6.82,6.89,6.77,31.85,64.91,1007.67,103.29,101
11-09-2025,56.01,58.01,9.12,0.01,6.98,6.94,6.91,31.77,64.23,1006.9,144.01,96
12-09-2025,59.03,61.39,9.67,0.01,6.81,6.82,6.78,31.7,70.2,1007.24,143.77,71
15-09-2025,36.36,38.02,9.8,0.01,7.98,7.95,8.02,31.26,69.02,1007.64,103.66,104
17-09-2025,39.34,40.97,12.56,0.01,9.27,9.44,9.1,30.79,71.82,1007.66,110.3,70
18-09-2025,61.51,63.11,9.25,0.02,7.1,7.05,7.0,31.05,65.26,1007.19,131.58,89
19-09-2025,42.1,43.62,9.49,0.01,17.87,6.83,6.87,31.26,64.0,1008.1,116.62,89
20-09-2025,52.74,54.63,8.91,0.01,6.65,6.46,6.5,31.44,67.45,1007.64,141.47,100
23-09-2025,36.38,37.68,10.6,0.01,7.62,7.75,7.55,31.36,59.41,1009.48,102.84,128
24-09-2025,19.65,20.51,9.45,0.02,19.9,8.25,7.75,31.17,59.58,1007.95,68.55,85
25-09-2025,37.72,39.14,10.06,0.01,7.76,7.95,8.31,31.07,59.62,1006.17,106.38,92
26-09-2025,55.0,57.01,8.6,0.01,6.72,6.96,7.02,30.63,62.68,1006.68,121.41,98
29-09-2025,33.04,34.41,7.97,0.01,6.4,6.36,16.01,30.46,68.38,1007.4,96.01,104
30-09-2025,38.13,40.07,7.99,0.01,14.75,6.09,6.04,30.78,63.56,1006.41,109.0,145
01-10-2025,38.97,41.28,10.58,0.01,6.13,6.12,6.23,31.62,62.65,1005.17,107.43,498
02-10-2025,32.87,34.63,7.61,0.01,6.08,6.02,5.98,31.75,62.55,1006.69,95.09,484
03-10-2025,25.6,26.68,9.17,0.01,6.29,6.29,6.29,31.56,63.37,1008.45,78.98,99
04-10-2025,35.34,36.81,8.82,0.01,6.74,6.69,7.1,32.01,62.84,1009.94,101.26,100
05-10-2025,21.39,22.9,8.84,0.01,8.92,5.87,5.87,32.15,60.03,1008.38,68.97,264
07-10-2025,36.74,38.78,8.67,0.01,6.3,6.32,6.37,31.66,57.32,1009.82,104.38,99
08-10-2025,40.76,42.85,10.41,0.01,8.92,8.64,8.04,31.14,54.93,1008.63,112.61,99
09-10-2025,50.92,53.27,10.46,0.01,7.31,7.12,7.11,31.32,59.93,1009.44,134.9,71
10-10-2025,39.18,40.99,9.63,0.01,7.83,7.64,7.66,30.97,70.68,1007.6,109.94,146
11-10-2025,16.49,17.16,7.48,0.01,5.98,5.97,6.08,31.65,61.4,1007.56,59.82,104
13-10-2025,32.81,34.17,8.05,0.01,6.42,6.27,6.15,31.59,62.81,1006.72,95.72,83
14-10-2025,61.69,64.03,10.31,0.01,8.17,8.27,8.35,31.22,61.19,1003.54,147.15,106
15-10-2025,32.62,33.73,8.97,0.01,5.97,5.95,5.97,31.29,63.95,1004.12,94.36,107
