DATE,PM2.5,PM10,O3,CO,NO2,SO2,NH3,Temperature,Humidity,Pressure,AQI,SampleCount
12-03-2025,2.15,3.29,3.46,1.23,21.86,2.35,8.63,0.0,0.0,0.0,24.25,8
01-04-2025,46.4,51.61,3.46,1.23,25.7,2.35,9.69,0.0,0.0,0.0,127.29,1464
02-04-2025,37.99,42.25,3.46,1.23,25.58,2.35,9.55,0.0,0.0,0.0,107.67,2049
03-04-2025,34.74,38.85,3.46,1.23,24.06,2.35,9.06,0.0,0.0,0.0,98.96,908
30-06-2025,25.11,29.17,3.46,1.23,1376.55,2.35,510.88,0.0,0.0,0.0,331.97,464
01-07-2025,38.1,44.06,3.46,1.23,6765.88,2.35,2254.04,0.0,0.0,0.0,310.67,508
02-07-2025,31.66,35.9,3.46,1.23,1393.59,2.35,516.42,0.0,0.0,0.0,336.24,631
03-07-2025,46.7,51.54,3.46,1.23,1379.49,2.35,511.5,0.0,0.0,0.0,332.75,261
05-07-2025,17.98,24.92,3.46,1.23,1353.01,2.35,503.42,0.0,0.0,0.0,326.11,19
18-07-2025,12.61,19.55,3.46,1.23,1210.98,2.35,500.61,0.0,0.0,0.0,295.24,29
04-08-2025,14.02,15.48,3.46,1.23,3.4,2.35,4.46,27.1,0.0,1006.0,54.69,13
05-08-2025,26.05,28.33,3.46,1.23,4.97,2.35,4.0,28.1,0.0,1006.4,80.44,345
06-08-2025,18.04,20.83,3.46,1.23,4.97,2.35,4.02,26.72,0.0,1006.61,63.49,319
11-08-2025,21.96,23.85,3.46,1.23,6.82,2.35,6.23,26.29,0.0,1010.0,71.69,13
12-08-2025,20.14,22.01,3.46,1.23,4.94,2.35,4.12,27.84,0.0,1008.0,67.99,76
13-08-2025,26.21,31.55,3.46,1.23,5.45,2.35,4.51,26.55,0.0,1005.48,78.28,1444
14-08-2025,72.37,81.17,3.46,1.23,4.41,2.35,4.02,26.3,0.0,1005.85,133.91,351
15-08-2025,64.09,73.68,3.46,1.23,5.01,2.35,4.0,24.49,0.0,1004.4,139.04,120
20-08-2025,12.27,18.61,3.46,1.23,4.48,2.35,3.8,32.25,0.0,1007.31,49.92,49
21-08-2025,19.91,22.13,3.46,1.23,6.39,2.35,4.0,24.43,0.0,1007.09,67.64,11
22-08-2025,16.65,25.24,3.46,1.23,5.13,2.35,4.0,29.61,0.0,1007.28,60.47,75
23-08-2025,25.04,29.03,3.46,1.23,4.63,2.35,4.0,26.64,0.0,1006.81,76.64,143
25-08-2025,21.79,24.67,3.46,1.23,5.1,2.35,4.01,26.23,0.0,1007.36,71.35,171
26-08-2025,41.68,46.56,3.46,1.23,4.53,2.35,4.21,27.06,0.0,1007.5,116.21,190
29-08-2025,39.29,42.84,3.46,1.23,4.68,2.35,4.0,25.55,0.0,1006.4,110.83,176
01-09-2025,22.88,28.0,3.46,1.23,5.7,2.35,4.0,27.24,0.0,1005.83,73.88,129
02-09-2025,17.72,31.56,3.46,1.23,4.58,2.35,4.01,30.46,0.0,1005.41,62.38,242
10-09-2025,27.43,31.35,3.46,1.23,4.49,2.35,4.01,28.92,0.0,1007.6,83.34,253
11-09-2025,35.92,43.44,3.46,1.23,4.97,2.35,4.0,28.47,0.0,1006.76,103.08,235
12-09-2025,36.03,41.96,3.46,1.23,4.86,2.35,4.0,27.25,0.0,1007.03,102.92,212
13-09-2025,25.15,30.05,3.46,1.23,5.01,2.35,4.08,28.97,0.0,1006.33,78.56,879
14-09-2025,24.36,27.6,3.46,1.23,5.12,2.35,4.12,29.34,0.0,1006.73,76.81,889
15-09-2025,28.71,31.7,3.46,1.23,4.95,2.35,4.02,28.66,0.0,1007.56,86.27,251
16-09-2025,21.94,24.17,3.46,1.23,5.22,2.35,4.03,29.37,0.0,1005.74,71.89,948
17-09-2025,28.36,30.97,3.46,1.23,4.78,2.35,4.01,27.17,0.0,1006.79,85.99,168
18-09-2025,29.27,31.85,3.46,1.23,5.47,2.35,4.0,26.36,0.0,1006.17,86.38,64
23-09-2025,33.44,36.51,3.46,1.23,6.22,2.35,4.0,25.85,0.0,1008.1,97.0,10
24-09-2025,16.41,17.79,3.46,1.23,3.94,2.35,4.0,26.57,0.0,1007.59,59.07,75
25-09-2025,22.09,24.23,3.46,1.23,5.65,2.35,4.0,27.16,0.0,1006.01,71.98,96
26-09-2025,30.76,33.31,3.46,1.23,4.12,2.35,4.0,26.1,0.0,1005.96,90.96,103
29-09-2025,26.79,29.5,3.46,1.23,4.75,2.35,4.0,27.44,0.0,1006.81,82.28,164
30-09-2025,24.43,29.73,3.46,1.23,4.87,2.35,4.0,29.53,0.0,1006.3,77.41,326
03-10-2025,20.95,23.1,3.46,1.23,4.85,2.35,4.0,27.54,0.0,1008.01,69.21,140
04-10-2025,23.52,25.85,3.46,1.23,5.47,2.35,4.0,28.32,0.0,1009.55,75.02,130
06-10-2025,16.81,19.2,3.46,1.23,4.67,2.35,4.0,27.75,0.0,1009.51,60.92,157
07-10-2025,26.23,29.65,3.46,1.23,4.89,2.35,4.01,26.65,0.0,1009.77,80.73,159
08-10-2025,30.23,33.86,3.46,1.23,4.46,2.35,4.01,27.2,0.0,1008.74,88.47,137
09-10-2025,29.71,32.39,3.46,1.23,4.77,2.35,4.06,30.2,0.0,1010.11,88.98,374
10-10-2025,20.94,22.93,3.46,1.23,4.95,2.35,4.01,30.52,0.0,1008.44,69.61,578
11-10-2025,13.81,14.84,3.46,1.23,4.87,2.35,4.0,30.58,0.0,1008.52,54.56,413
12-10-2025,18.79,20.42,3.46,1.23,4.87,2.35,4.0,30.89,0.0,1006.03,65.08,2288
13-10-2025,17.81,19.35,3.46,1.23,4.69,2.35,4.0,30.5,0.0,1007.55,63.01,433
14-10-2025,29.24,32.02,3.46,0.2,4.76,2.35,4.23,30.03,0.0,1004.41,87.06,433
15-10-2025,18.99,20.67,3.46,0.2,4.55,2.35,4.02,30.28,0.0,1005.04,65.49,413
17-10-2025,20.04,21.7,3.46,0.2,3.89,2.35,4.05,34.67,0.0,1004.18,67.82,22
18-10-2025,26.37,28.67,3.46,0.2,5.06,2.35,4.0,26.43,0.0,1004.56,80.72,251
19-10-2025,16.21,17.56,3.46,0.2,5.11,2.35,4.01,27.57,0.0,1003.9,57.39,1104
20-10-2025,16.08,17.81,3.46,0.2,5.01,2.35,4.05,26.89,0.0,1003.31,58.33,1152
21-10-2025,28.16,30.66,3.46,0.2,4.96,2.35,4.0,26.2,0.0,1004.36,85.03,262
22-10-2025,30.98,33.5,3.46,0.2,5.14,2.35,4.0,26.09,0.0,1005.16,92.05,242
23-10-2025,21.52,23.17,3.46,0.2,5.15,2.35,4.0,25.7,0.0,1005.98,70.82,264
24-10-2025,14.77,15.94,3.46,0.2,5.14,2.35,4.0,28.89,0.0,1008.23,56.62,277
16-12-2025,56.18,63.75,3.46,0.2,8.22,2.35,8.09,39.78,0.0,1006.94,149.78,32
18-12-2025,29.73,32.54,3.46,0.2,8.18,2.35,8.0,29.8,0.0,1010.32,88.51,425
19-12-2025,27.58,30.14,3.46,0.2,8.34,2.35,8.0,29.2,0.0,1009.22,83.99,427
20-12-2025,47.0,51.54,3.46,0.2,8.17,2.35,8.0,28.96,0.0,1007.91,129.32,428
22-12-2025,56.1,61.67,3.46,0.2,7.52,2.35,8.0,28.47,0.0,1009.28,150.01,426
23-12-2025,53.6,58.88,3.46,0.2,8.38,2.35,8.0,28.53,0.0,1008.95,145.11,429
26-12-2025,48.18,53.01,3.46,0.2,8.33,2.35,8.0,28.8,0.0,1009.08,130.6,430
27-12-2025,56.91,62.34,3.46,0.2,7.85,2.35,8.0,29.16,0.0,1009.19,150.19,431
30-12-2025,60.14,66.27,3.46,0.2,7.86,2.35,8.0,29.92,0.0,1010.42,153.39,432
31-12-2025,69.23,76.58,3.46,0.2,8.35,2.35,8.0,30.27,0.0,1009.03,158.06,427
01-01-2026,70.24,78.47,3.46,0.2,8.21,2.35,8.0,30.02,0.0,1008.25,158.6,601
03-01-2026,50.53,55.42,3.46,0.2,7.87,2.35,8.0,29.94,0.0,1010.23,137.96,430
